video_name,fps,height,width,duration,frame_count
vid_89.mp4,30.0,720,1260,84,2521
vid_9.mp4,30.0,720,1280,147,4410
vid_90.mp4,30.0,720,1280,123,3691
vid_91.mp4,25.0,720,1280,6,161
vid_92.mp4,25.0,720,1280,6,161
vid_93.mp4,30.0,548,1280,94,2821
vid_94.mp4,30.0,720,1280,5,161
vid_95.mp4,25.0,720,1280,8,222
vid_96.mp4,25.0,360,640,12,305
vid_97.mp4,25.0,360,640,10,270
vid_98.mp4,25.0,360,640,14,350
vid_99.mp4,30.0,720,1280,9,291
